Date,Price
01-01-2019,27392.40
02-01-2019,27174.70
03-01-2019,26959.85
04-01-2019,27195.00
07-01-2019,27304.55
08-01-2019,27509.50
09-01-2019,27720.40
10-01-2019,27528.55
11-01-2019,27453.90
14-01-2019,27248.25
15-01-2019,27400.75
16-01-2019,27483.70
17-01-2019,27528.75
18-01-2019,27456.70
21-01-2019,27533.60
22-01-2019,27482.25
23-01-2019,27250.75
24-01-2019,27266.40
25-01-2019,27115.30
28-01-2019,26653.05
29-01-2019,26573.40
30-01-2019,26825.50
31-01-2019,27295.45
01-02-2019,27085.95
04-02-2019,27186.60
05-02-2019,27271.70
06-02-2019,27402.35
07-02-2019,27387.15
08-02-2019,27294.40
11-02-2019,27227.80
12-02-2019,27010.75
13-02-2019,26885.40
14-02-2019,26970.60
15-02-2019,26794.25
18-02-2019,26654.25
19-02-2019,26684.85
20-02-2019,26955.50
21-02-2019,27052.40
22-02-2019,26867.55
25-02-2019,27159.25
26-02-2019,26952.95
27-02-2019,26799.30
28-02-2019,26789.90
01-03-2019,27043.90
05-03-2019,27554.05
06-03-2019,27625.65
07-03-2019,27764.60
08-03-2019,27761.80
11-03-2019,27966.65
12-03-2019,28443.70
13-03-2019,28884.30
14-03-2019,28923.10
15-03-2019,29381.45
18-03-2019,29596.10
19-03-2019,29767.85
20-03-2019,29832.20
22-03-2019,29582.50
25-03-2019,29281.20
26-03-2019,29882.15
27-03-2019,30019.80
28-03-2019,30420.55
29-03-2019,30426.80
01-04-2019,30326.50
02-04-2019,30354.25
03-04-2019,30093.30
04-04-2019,29904.90
05-04-2019,30084.65
08-04-2019,29845.30
09-04-2019,30113.85
10-04-2019,29803.50
11-04-2019,29786.10
12-04-2019,29938.55
15-04-2019,30104.25
16-04-2019,30531.35
18-04-2019,30223.40
22-04-2019,29687.95
23-04-2019,29479.70
24-04-2019,29860.80
25-04-2019,29561.35
26-04-2019,30013.50
30-04-2019,29764.80
02-05-2019,29708.60
03-05-2019,29954.15
06-05-2019,29618.45
07-05-2019,29288.20
08-05-2019,28994.40
09-05-2019,28884.60
10-05-2019,29040.50
13-05-2019,28659.95
14-05-2019,28829.20
15-05-2019,28616.45
16-05-2019,28855.30
17-05-2019,29450.15
20-05-2019,30759.70
21-05-2019,30308.40
22-05-2019,30526.80
23-05-2019,30409.10
24-05-2019,31212.55
27-05-2019,31647.65
28-05-2019,31597.90
29-05-2019,31295.55
30-05-2019,31537.10
31-05-2019,31375.40
03-06-2019,31653.65
04-06-2019,31589.05
06-06-2019,30857.40
07-06-2019,31066.55
10-06-2019,31034.00
11-06-2019,31265.45
12-06-2019,30965.70
13-06-2019,30976.10
14-06-2019,30614.35
17-06-2019,30273.25
18-06-2019,30351.00
19-06-2019,30362.10
20-06-2019,30781.10
21-06-2019,30628.35
24-06-2019,30602.05
25-06-2019,30847.05
26-06-2019,31162.35
27-06-2019,31269.50
28-06-2019,31105.20
01-07-2019,31372.20
02-07-2019,31283.30
03-07-2019,31382.30
04-07-2019,31471.85
05-07-2019,31475.80
08-07-2019,30603.85
09-07-2019,30569.15
10-07-2019,30522.10
11-07-2019,30716.55
12-07-2019,30601.45
15-07-2019,30445.95
16-07-2019,30570.80
17-07-2019,30735.50
18-07-2019,30430.60
19-07-2019,29770.35
22-07-2019,29284.95
23-07-2019,29128.10
24-07-2019,28952.25
25-07-2019,29043.05
26-07-2019,29325.30
29-07-2019,29295.90
