Date,Day
08-11-2022,Tuesday
26-10-2022,Wednesday
24-10-2022,Monday
05-10-2022,Wednesday
31-08-2022,Wednesday
15-08-2022,Monday
09-08-2022,Tuesday
03-05-2022,Tuesday
15-04-2022,Friday
14-04-2022,Thursday
18-03-2022,Friday
01-03-2022,Tuesday
26-01-2022,Wednesday
19-11-2021,Friday
05-11-2021,Friday
04-11-2021,Thursday
15-10-2021,Friday
10-09-2021,Friday
19-08-2021,Thursday
21-07-2021,Wednesday
13-05-2021,Thursday
21-04-2021,Wednesday
14-04-2021,Wednesday
02-04-2021,Friday
29-03-2021,Monday
11-03-2021,Thursday
26-01-2021,Tuesday
25-12-2020,Friday
30-11-2020,Monday
16-11-2020,Monday
02-10-2020,Friday
25-05-2020,Monday
01-05-2020,Friday
14-04-2020,Tuesday
10-04-2020,Friday
06-04-2020,Monday
02-04-2020,Thursday
10-03-2020,Tuesday
21-02-2020,Friday
31-08-2021,Thursday
